Filename,Label,ClassName
PermanentCrop/PermanentCrop_2401.tif,6,PermanentCrop
PermanentCrop/PermanentCrop_1006.tif,6,PermanentCrop
HerbaceousVegetation/HerbaceousVegetation_1025.tif,2,HerbaceousVegetation
SeaLake/SeaLake_1439.tif,9,SeaLake
River/River_1052.tif,8,River
Forest/Forest_2361.tif,1,Forest
HerbaceousVegetation/HerbaceousVegetation_244.tif,2,HerbaceousVegetation
Forest/Forest_1453.tif,1,Forest
AnnualCrop/AnnualCrop_2822.tif,0,AnnualCrop
Pasture/Pasture_370.tif,5,Pasture
AnnualCrop/AnnualCrop_912.tif,0,AnnualCrop
Highway/Highway_665.tif,3,Highway
HerbaceousVegetation/HerbaceousVegetation_2132.tif,2,HerbaceousVegetation
Highway/Highway_1716.tif,3,Highway
Highway/Highway_2085.tif,3,Highway
River/River_1929.tif,8,River
Residential/Residential_134.tif,7,Residential
Industrial/Industrial_300.tif,4,Industrial
HerbaceousVegetation/HerbaceousVegetation_34.tif,2,HerbaceousVegetation
Residential/Residential_422.tif,7,Residential
Pasture/Pasture_1080.tif,5,Pasture
Forest/Forest_399.tif,1,Forest
PermanentCrop/PermanentCrop_1414.tif,6,PermanentCrop
Residential/Residential_377.tif,7,Residential
Pasture/Pasture_1512.tif,5,Pasture
River/River_1395.tif,8,River
River/River_214.tif,8,River
PermanentCrop/PermanentCrop_2274.tif,6,PermanentCrop
Residential/Residential_2972.tif,7,Residential
River/River_1520.tif,8,River
AnnualCrop/AnnualCrop_32.tif,0,AnnualCrop
SeaLake/SeaLake_135.tif,9,SeaLake
HerbaceousVegetation/HerbaceousVegetation_1241.tif,2,HerbaceousVegetation
AnnualCrop/AnnualCrop_2444.tif,0,AnnualCrop
Residential/Residential_885.tif,7,Residential
HerbaceousVegetation/HerbaceousVegetation_628.tif,2,HerbaceousVegetation
Forest/Forest_1767.tif,1,Forest
AnnualCrop/AnnualCrop_927.tif,0,AnnualCrop
Highway/Highway_1419.tif,3,Highway
SeaLake/SeaLake_1527.tif,9,SeaLake
SeaLake/SeaLake_1231.tif,9,SeaLake
Residential/Residential_578.tif,7,Residential
Highway/Highway_726.tif,3,Highway
